name,pillar,category,description
Classic Paw Print Cake,celebrate,cakes,A delicious chicken & oats cake with adorable paw print decoration
Breed Special - Golden Retriever,celebrate,cakes,"Shaped like a Golden Retriever face, perfect for breed lovers"
Peanut Butter Pupcakes (6 Pcs),shop,treats,Mini cupcakes perfect for sharing at pawties
Desi Ladoo Treats,shop,treats,Traditional Indian ladoo made pet-safe with natural ingredients
Professional Training Clicker,care,care,High-quality clicker for positive reinforcement training.
Training Treat Pouch,fit,fit,Convenient pouch with quick-access opening for training treats.
Ceramic Memorial Urn,shop,urns,Beautiful hand-crafted ceramic urn with customisable engravings
Wooden Memory Box,shop,urns,Elegant wooden memory box with photo frame and compartment for ashes
Clay Paw Print Kit,shop,keepsakes,Create a lasting impression with our premium clay paw print kit
Memorial Locket Pendant,shop,keepsakes,Sterling silver locket to keep a small portion of ashes close to your heart
Custom Pet Portrait,shop,memorial,Hand-painted watercolour portrait from your favourite photo
Memory Blanket,shop,memorial,Soft fleece blanket printed with your pet's photos
Ultimate Birthday Bash,celebrate,bundles,The most comprehensive birthday package for your fur baby's special day
Pawsome Party Starter,celebrate,bundles,Everything you need to get the party started
Paw-parazzi Package,shop,bundles,Professional photo session package for memorable captures
Ultimate Birthday Bundle,celebrate,bundles,Cake + Pupcakes + Party Pack
Premium Celebration Hamper,celebrate,bundles,Cake + Treat Hamper + Party Pack
Birthday Pawty Box,celebrate,bundles,"Complete birthday celebration package with cake, treats, and party accessories"
Gotcha Day Celebration,celebrate,concierge,Celebrate your rescue pet's adoption anniversary
Pet Café Visit,enjoy,experiences,Pet-friendly café experience with treats
Doggy Brunch Reservation,enjoy,experiences,Weekend brunch at pet-friendly restaurant
Home Chef Pet Meal,dine,meals,Fresh home-cooked meal for your pet
Gourmet Pet Platter,dine,meals,Premium selection of pet-safe treats
Birthday Dinner Package,celebrate,packages,Special birthday dinner experience
Pet Hotel Standard Room,stay,boarding,Comfortable overnight stay for your pet
Luxury Pet Suite,stay,boarding,Premium suite with extra amenities
Doggy Daycare Pass,care,daycare,Full day supervised play and care
Weekly Boarding Package,stay,packages,7-day boarding with daily activities
Pet Staycation Bundle,stay,packages,3-night luxury stay with spa services
Pet Travel Carrier,travel,gear,Airline-approved travel carrier
Travel Water Bottle,travel,travel-gear,Portable water bottle for pets
Pet Passport Service,shop,services,Complete documentation for international travel
Travel Comfort Kit,travel,kits,"Blanket, toys, and treats for journey"
Pet Transport Service,travel,services,Door-to-door pet transportation
Dog Park Meetup Pass,enjoy,events,Access to exclusive dog park events
Pet Photography Session,enjoy,experiences,Professional pet photoshoot
Doggy Swimming Session,enjoy,activities,Supervised pool time for dogs
Puppy Playdate Package,enjoy,activities,Organized playdate with other puppies
Pet Picnic Kit,shop,kits,Everything for a perfect pet picnic
Dog Running Session,fit,fitness,Professional dog running service
Canine Yoga Class,learn,classes,Yoga session with your dog
Weight Management Program,shop,weight,3-month fitness & diet program
Agility Training Session,learn,training,Obstacle course training
Pet Fitness Tracker,fit,gear,Smart collar for activity tracking
Nutrition Consultation,shop,consultation,Expert diet planning for your pet
Behaviour Assessment,shop,consultations,Professional behaviour evaluation
Pet Life Planning,shop,planning,Comprehensive pet care roadmap
Breed-Specific Guide,shop,guides,Custom care guide for your breed
Senior Pet Care Plan,care,planning,Specialized care for aging pets
Pet Insurance Assistance,shop,services,Help with insurance paperwork
Registration Service,shop,services,Pet registration and licensing
Health Certificate,care,certificates,Official health documentation
Microchip Registration,shop,documentation,Microchip and database registration
Pet Will & Trust Setup,shop,legal,Legal pet care documentation
24/7 Vet Hotline Access,shop,subscriptions,Annual subscription for emergency advice
Pet First Aid Kit,advisory,advisory,Comprehensive emergency kit
Emergency Transport Service,emergency,emergency,Priority pet ambulance service
Lost Pet Recovery Plan,shop,services,GPS tracking and recovery service
Emergency Fund Setup,emergency,financial,Pet emergency savings plan setup
Adoption Counselling,adopt,services,Expert guidance for pet adoption
New Pet Starter Kit,shop,kit,Everything for your new family member
Home Assessment Service,shop,services,Pet-proofing home consultation
Adoption Follow-up Package,adopt,packages,30-day support after adoption
Foster Preparation Kit,shop,kits,Supplies for fostering pets
Puppy Picnic Set,enjoy,experiences,Complete picnic setup for you and your pet
Dog-Friendly Restaurant Guide,shop,guides,Digital guide to pet-friendly eateries
Pet Food Tasting Session,enjoy,experiences,Sample premium pet foods
Organic Pet Meal Plan,shop,subscriptions,Monthly organic meal subscription
Pet Chef Consultation,shop,consultations,One-on-one with pet nutrition chef
Doggy Ice Cream Party,enjoy,events,Ice cream party for pets
Pet Bakery Tour,enjoy,experiences,Behind the scenes at pet bakery
Weekly Meal Prep Service,shop,services,Fresh meals prepared weekly
Canine Cuisine Cookbook,shop,products,Recipes for homemade pet food
Pet Food Storage Set,dine,products,Premium airtight containers
Slow Feeder Bowl,shop,accessories,Promotes healthy eating habits
Elevated Dining Set,shop,products,Ergonomic feeding station
Pet Wine & Dine Night,enjoy,experiences,Luxury dining experience
Automatic Pet Feeder,shop,products,Smart scheduled feeding
Pet Nutrition Workshop,learn,classes,Learn about pet nutrition
Cat Condo Rental,stay,boarding,Private cat accommodation
VIP Pet Penthouse,stay,boarding,Top-floor luxury suite
Home Pet Sitting,shop,services,In-home pet care service
Overnight Pet Nanny,shop,services,24-hour in-home care
Pet Vacation Resort,stay,boarding,Resort-style boarding
Monthly Daycare Pass,care,subscriptions,Unlimited monthly daycare
Senior Pet Care Room,stay,boarding,Specialized senior pet boarding
Puppy Kindergarten Stay,stay,boarding,Socialization-focused boarding
Pet Hotel Pool Access,stay,amenities,Swimming pool day pass
Grooming During Stay,care,add-ons,Add grooming to boarding
Extended Stay Discount,stay,packages,30-day boarding package
Pet Webcam Access,shop,add-ons,Watch your pet 24/7
Special Needs Boarding,stay,boarding,Medical care included
Holiday Pet Hotel,stay,boarding,Festive themed stays
Pet Playgroup Session,enjoy,activities,Supervised group play
Car Seat Cover,shop,gear,Waterproof car protection
Pet Stroller,shop,gear,All-terrain pet stroller
Collapsible Travel Bowl,shop,accessories,Portable food/water bowl
Pet Travel Insurance,travel,insurance,Comprehensive coverage
GPS Pet Tracker,travel,travel-gear,Real-time location tracking
Airline Pet Booking,shop,services,Flight booking assistance
Pet Travel Bed,travel,gear,Portable comfort bed
Motion Sickness Kit,care,health,Travel sickness remedies
Pet Hotel Finder,stay,services,Find pet-friendly stays
Travel First Aid Kit,travel,travel-gear,Emergency supplies
Pet Backpack Carrier,shop,gear,Hands-free carrying
Car Harness System,shop,safety,Safe car restraint
International Vet Check,shop,services,Travel health certificate
Pet Relocation Service,shop,relocation,Complete moving service
Travel Anxiety Treats,shop,treats,Calming travel snacks
Doggy Birthday Party,enjoy,events,Full birthday celebration
Pet Spa Day,enjoy,experiences,Relaxation and pampering
Dog Beach Day,enjoy,activities,Beach outing package
Pet Movie Night,enjoy,events,Outdoor cinema for pets
Hiking Trail Pass,enjoy,activities,Access to pet trails
Pet Art Class,learn,classes,Create art with your pet
Doggy Yoga Session,learn,classes,Doga class for you both
Pet Social Club,shop,subscriptions,Monthly membership
Sunrise Dog Walk,enjoy,activities,Group morning walks
Pet Costume Party,enjoy,events,Themed costume event
Doggy Dance Class,learn,classes,Learn tricks together
Pet Camping Trip,enjoy,experiences,Overnight camping adventure
Bubble Play Session,enjoy,activities,Pet-safe bubble fun
Pet Photobooth Access,enjoy,experiences,Fun photo opportunities
Seasonal Festival Pass,shop,subscriptions,All seasonal events
Hydrotherapy Session,shop,therapy,Water-based exercise
Personal Dog Trainer,learn,training,One-on-one training
Treadmill Training,fit,fitness,Indoor running session
Canine CrossFit,fit,fitness,High-intensity workout
Swimming Lessons,learn,classes,Learn to swim safely
Obstacle Course Pass,enjoy,activities,Access to agility course
Fetch Training Kit,learn,kits,Exercise through play
Dog Tug Toys Set,shop,gear,Strength building toys
Canine Massage Session,care,wellness,Post-workout recovery
Fitness Assessment,fit,assessment,Complete health check
Monthly Fitness Plan,fit,programs,Customized workout plan
Resistance Training Vest,learn,gear,Weighted exercise vest
Balance Ball Training,learn,classes,Core strengthening
Sprint Training Session,fit,fitness,Speed and agility
Cool Down Kit,shop,kits,Recovery essentials
Basic Obedience Course,learn,training,Foundation training
Puppy Socialization Class,learn,classes,Early social skills
Advanced Commands Training,learn,courses,Complex commands
Trick Training Workshop,learn,workshops,Fun tricks to learn
Leash Training Course,learn,courses,Perfect leash manners
Clicker Training Kit,learn,kits,Positive reinforcement
Behaviour Modification,shop,programs,Address problem behaviours
Service Dog Training,learn,specialized,Professional service training
Therapy Dog Certification,shop,certification,Become a therapy team
Recall Training Intensive,learn,courses,Perfect recall every time
Crate Training Guide,learn,guides,Positive crate training
House Training Program,learn,programs,Potty training success
Separation Anxiety Course,learn,courses,Build independence
Canine Good Citizen Prep,shop,certifications,CGC certification prep
Online Training Course,learn,training,Learn at your pace
Group Training Classes,learn,classes,Social learning
Private Training Session,learn,training,One-on-one instruction
Reactive Dog Workshop,shop,workshops,Help reactive dogs
Nose Work Introduction,learn,classes,Scent detection basics
Training Treat Bundle,learn,products,High-value training treats
Annual Wellness Checkup,care,checkups,Comprehensive health exam
Vaccination Package,shop,vaccines,Core vaccinations
Dental Cleaning,shop,dental,Professional dental care
Flea & Tick Prevention,shop,preventive,Monthly protection
Pet Supplements Bundle,care,supplements,Daily health supplements
Microchipping Service,shop,services,Permanent ID implant
Senior Pet Care Package,care,packages,Elderly pet health
Allergy Testing,shop,diagnostics,Identify allergies
Blood Panel Test,shop,diagnostics,Complete blood work
Joint Care Supplement,care,supplements,Hip and joint support
Skin & Coat Treatment,shop,treatments,Healthy skin therapy
Deworming Treatment,shop,treatments,Internal parasite control
Ear Cleaning Kit,shop,products,Prevent ear infections
Eye Care Drops,care,products,Eye health maintenance
Heartworm Prevention,shop,preventive,Monthly heartworm protection
Probiotic Supplement,care,supplements,Digestive health
Anxiety Relief Drops,care,wellness,Natural calming aid
Pain Management Plan,shop,treatments,Chronic pain care
Wellness Blood Test,care,diagnostics,Preventive screening
Pet First Aid Kit,shop,kits,Home emergency kit
New Pet Parent Consult,shop,consultations,First-time owner guidance
Multi-Pet Household Plan,shop,planning,Managing multiple pets
Pet Insurance Review,shop,financial,Insurance comparison
Vet Selection Assistance,shop,guidance,Find the right vet
Pet Budget Planning,shop,financial,Financial pet planning
Exercise Plan Consult,fit,consultations,Custom fitness plan
Grooming Schedule Guide,care,guides,Maintenance schedule
Puppy Development Guide,shop,guides,Stage-by-stage growth
Diet Transition Plan,shop,planning,Safe food switching
Seasonal Care Guide,care,guides,Weather-based care tips
Pet Safety Audit,shop,assessments,Home safety check
Training Method Consult,learn,consultations,Find right training style
End-of-Life Planning,shop,planning,Compassionate guidance
Rehoming Consultation,shop,consultations,Responsible rehoming help
Monthly Advisory Call,advisory,subscriptions,Ongoing expert support
Personal Fitness Assessment,fit,fitness_assessment,"Comprehensive fitness evaluation for your pet including body condition score, mobility check, and pe"
Weight Management Programme,fit,weight,12-week structured weight management plan with nutritionist support and progress tracking
Agility Training Sessions (4 Pack),fit,exercise_plan,"Fun agility training sessions to improve coordination, confidence and fitness"
Swimming Therapy Session,fit,exercise_plan,Low-impact aquatic exercise perfect for senior pets or those recovering from injury
Daily Walk & Exercise Package,fit,exercise_plan,30-day package of daily structured walks with exercise intervals
Puppy Foundation Course,learn,puppy_training,"Essential training for puppies 8-16 weeks covering socialisation, basic commands, and house training"
Basic Obedience Training (8 Sessions),learn,basic_obedience,"Master sit, stay, come, heel, and leash walking with certified trainers"
Behaviour Modification Programme,learn,behavior_modification,"Address specific behavioural issues like aggression, anxiety, or excessive barking"
Advanced Tricks & Commands,learn,advanced_training,"Fun advanced training including tricks, off-leash reliability, and complex commands"
Private In-Home Training Session,learn,basic_obedience,One-on-one training session at your home for personalised attention
Full Grooming Package,care,grooming,"Complete grooming including bath, haircut, nail trim, ear cleaning, and teeth brushing"
Spa Bath & Pamper Session,shop,spa_bath,"Luxury spa experience with aromatherapy bath, massage, and premium conditioning"
Nail Trim & Paw Care,care,nail_care,Professional nail trimming with paw pad moisturising treatment
De-shedding Treatment,care,grooming,Specialised treatment to reduce shedding by up to 80% using premium products
Breed-Specific Styling,shop,styling,Expert breed-standard styling by certified groomers familiar with your breed
Behaviour Consultation,advisory,behaviour,60-minute consultation with certified animal behaviourist to address concerns
Nutrition Planning Session,advisory,nutrition,Personalised nutrition plan developed by veterinary nutritionist
Senior Pet Care Consultation,advisory,consultation,Comprehensive guidance for caring for your ageing pet with comfort and dignity
New Pet Parent Coaching,advisory,coaching,One-on-one coaching for new pet parents covering everything from feeding to training
Breed Selection Guidance,advisory,breed_selection,Expert advice to help you choose the perfect breed for your lifestyle
Pet Passport Application Service,paperwork,travel,Complete assistance with pet passport application including documentation and vet coordination
KCI Registration Assistance,paperwork,documentation,Help with Kennel Club of India registration including pedigree verification
Medical Records Digitisation,paperwork,medical,Convert all physical medical records to secure digital format with cloud backup
Import/Export Documentation,paperwork,documentation,Complete documentation assistance for international pet relocation
Microchip Registration,paperwork,identity,Professional microchip implantation with national database registration
Pet First Aid Kit - Premium,emergency,first_aid,"Comprehensive first aid kit with bandages, antiseptic, thermometer, and emergency guide"
24/7 Emergency Helpline Subscription,emergency,helpline,Annual subscription to 24/7 veterinary emergency helpline with instant advice
Emergency Transport Service,emergency,transport,On-demand emergency pet ambulance service to nearest veterinary facility
Lost Pet Alert Service,emergency,lost_pet,"Instant alert broadcast to local community, shelters, and veterinary clinics"
First Aid Training Course,emergency,training,Learn essential pet first aid skills from certified professionals
Adoption Application Processing,adopt,adoption_process,Complete adoption application processing with background checks and home visit
Foster Parent Starter Kit,adopt,foster,"Everything you need to start fostering including supplies, guide, and support"
New Pet Welcome Package,adopt,adoption_package,"Essential supplies for your newly adopted pet including food, bed, and toys"
Adoption Counselling Session,adopt,consultation,Expert guidance to help you find the perfect pet match for your family
Shelter Support Donation,adopt,donation,Direct donation to partner shelters to support rescued animals
Private Cremation Service,farewell,cremation,Dignified private cremation with ashes returned in an elegant urn
Memorial Keepsake Box,farewell,memorial,Beautiful handcrafted box to store precious memories of your beloved pet
Rainbow Bridge Ceremony,farewell,ceremony,Touching farewell ceremony with readings and memorial moment
Grief Support Counselling,farewell,grief_support,Professional pet loss counselling to help you through this difficult time
Paw Print Memorial,farewell,memorial,Professional clay paw print impression as a lasting tribute
Basic Health Coverage,insure,insurance,Essential health insurance covering accidents and basic illnesses
Comprehensive Pet Insurance,insure,comprehensive,"Full coverage including accidents, illness, surgeries, and preventive care"
Senior Pet Insurance,insure,senior_coverage,Specialised coverage for pets over 7 years with pre-existing condition options
Wellness Add-On,insure,wellness,Add preventive care coverage including vaccinations and annual check-ups
Travel Insurance for Pets,insure,travel_insurance,Coverage for pets during domestic and international travel
Dog Park Meetup Pass (Monthly),community,meetups,Monthly pass for organised dog park meetups with socialisation activities
Pet Parent Social Club Membership,community,membership,Annual membership to exclusive pet parent community with events and networking
Breed-Specific Playdate,community,playdates,Organised playdate with dogs of the same breed for specialised socialisation
Pet-Friendly Event Ticket,community,events,Entry to premium pet-friendly events including festivals and exhibitions
Pet Photography Meetup,community,photo_meetup,Join other pet parents for a fun photo session with professional photographer
Complete Fitness Transformation,fit,fitness_bundle,"12-week programme combining assessment, weight management, and exercise sessions"
Puppy Learning Journey,learn,training_bundle,Complete puppy training from foundation through basic obedience
Ultimate Pamper Day,care,grooming_bundle,"Full day of pampering including spa bath, full grooming, and de-shedding"
New Pet Parent Essentials,advisory,advisory_bundle,"Everything new pet parents need including coaching, nutrition, and behaviour guidance"
Travel Ready Package,paperwork,paperwork_bundle,Complete documentation for domestic and international pet travel
Peace of Mind Package,emergency,emergency_bundle,"Complete emergency preparedness including first aid kit, helpline, and training"
New Family Member Package,adopt,adoption_bundle,"Everything you need when adopting including processing, welcome kit, and counselling"
Complete Memorial Package,farewell,farewell_bundle,"Dignified farewell with cremation, ceremony, keepsake, and grief support"
Complete Protection Plan,insure,insurance_bundle,Full insurance coverage with wellness add-on and travel protection
Social Butterfly Package,community,community_bundle,"Full year of socialisation with club membership, meetups, and events"
Dog Yoga Mat,fit,fit,Non-slip yoga mat designed for pet stretching and relaxation exercises. Perfect for doga sessions wi
Interactive Fetch Launcher,fit,fit,Automatic ball launcher with adjustable distance settings. Great for high-energy dogs who love fetch
Agility Training Kit,fit,fit,"Complete agility set with hurdles, tunnel, weave poles, and training guide. Build your backyard agil"
Swimming Vest (All Sizes),fit,fit,High-visibility flotation vest for water-loving dogs. Adjustable straps and handle for easy lifting.
Treadmill for Dogs,fit,fit,Indoor exercise solution for dogs. Variable speed settings and safety rails. Perfect for rainy days 
Puppy Growth Formula,dine,fresh-meals,"🍗 Premium chicken meal packed with protein for strong muscles. Made with human-grade chicken, fresh "
Fitness Assessment & Programme Design,fit,assessment,"Comprehensive fitness evaluation including body condition scoring, mobility assessment, and personal"
Personal Training Programme - 8 Weeks,fit,training,One-on-one training sessions with a certified canine fitness trainer. Includes home exercises and we
Weight Management Programme,fit,weight,"Structured weight loss or gain programme with nutrition planning, exercise routines, and regular wei"
Hydrotherapy Sessions,fit,therapy,"Water-based therapy sessions for rehabilitation, fitness, or senior mobility. Supervised by trained "
Senior Mobility Programme,fit,senior,"Gentle exercise programme designed for senior dogs. Focus on maintaining mobility, joint health, and"
Puppy Development Programme,fit,puppy,Age-appropriate fitness activities for puppies. Build healthy exercise habits and proper physical de
Agility Foundation Course,fit,agility,"Introduction to agility training. Learn basic obstacles, commands, and course navigation in a fun en"
Canine Yoga (Doga) Session,fit,wellness,"Relaxing yoga session with your dog. Great for bonding, flexibility, and stress relief for both pet "
Birthday Party Planning,celebrate,party,Complete party coordination
Professional Pet Photoshoot,celebrate,photography,Studio/outdoor photoshoot
Custom Cake Consultation,celebrate,consultation,One-on-one consultation with our cake designer to create the perfect custom cake.
Pawty Package,celebrate,premium,Full celebration package
Gotcha Day Celebration,celebrate,gotcha,Celebrate your pet's adoption anniversary with a special gotcha day package.
Surprise Delivery Service,celebrate,surprise,Send surprise treats and gifts to any pet parent! We deliver joy anywhere.
Milestone Celebration Kit,celebrate,milestone,"Celebrate your pet's milestones - first walk, 1 year, 100 treats, weight goals and more!"
Stay Concierge,stay,service,Find perfect pet-friendly accommodation
Premium Boarding Setup,stay,service,Custom boarding arrangement
Travel Planning,travel,service,Complete travel coordination
Relocation Concierge,travel,service,Full relocation support
Nutrition Consultation,shop,service,Expert diet planning
Custom Meal Planning,shop,service,Personalized meal plans
Premium Care Package,care,service,Comprehensive care service
Emergency Care Coordination,care,service,24/7 emergency support
Fitness Assessment,fit,assessment,Complete fitness evaluation
Personal Training Program,fit,service,8-week fitness journey
Puppy Training Package,learn,service,Foundation training
Behavior Consultation,learn,service,Address specific issues
Adventure Day Planning,enjoy,service,Custom adventure experience
Playdate Coordination,enjoy,service,Group play sessions
Spa Day Package,shop,service,Full spa treatment
Mobile Grooming,care,service,Grooming at your doorstep
Pet Matching Service,adopt,service,Find your perfect pet
New Pet Support,adopt,service,30-day transition support
Memorial Planning,farewell,service,Dignified farewell service
Grief Support,farewell,service,Counseling and support
VIP Restaurant Reservations,dine,service,Priority booking at pet-friendly restaurants
Gourmet Picnic Setup,dine,service,Complete pet-friendly picnic arrangement
Claims Assistance,insure,service,Help with insurance claims
Pet Styling Consultation,shop,service,Product recommendations
Surprise Box Subscription,shop,service,Monthly curated products
Chef's Table Experience,dine,service,Private chef dining at pet-friendly restaurants
Private Home Dining,dine,service,Chef comes to your home with pet-safe menu
Pet Party Catering,dine,service,Catering for pet birthdays & events
Fresh Meal Subscription,dine,service,Weekly fresh pet meals delivered
Group Dining Events,dine,service,Organize pet parent meetups
Personal Training Programme - 8 Weeks,fit,training,One-on-one training sessions with a certified canine fitness trainer.
Weight Management Programme,fit,weight,Structured weight loss/gain programme with nutritionist support.
Hydrotherapy Sessions,fit,therapy,Low-impact aquatic therapy for rehabilitation and fitness.
Senior Mobility Programme,fit,senior,Gentle exercises designed for older dogs to maintain mobility.
Puppy Development Programme,fit,puppy,Age-appropriate exercises and socialisation for growing pups.
Agility Foundation Course,fit,training,Introduction to agility training for dogs of all skill levels.
Canine Yoga (Doga) Session,fit,wellness,Relaxing yoga session for you and your dog to bond and de-stress.
Premium Grooming Session,care,grooming,"Full grooming service including bath, haircut, nail trim, and ear cleaning."
Vet Consultation at Home,care,vet,Licensed veterinarian visits your home for check-ups and consultations.
Pet Sitting (Daily),care,sitting,Professional pet sitter cares for your pet at your home.
Pawty Package (Full Celebration),celebrate,premium,"The ultimate celebration package - cake, treats, photoshoot, decorations & party coordination!"
Pet-Friendly Venue Booking,celebrate,venue,We find and book the perfect pet-friendly venue for your celebration.
Basic Obedience Online Course,learn,learn,12-week video course for puppy training
Professional Clicker Training Kit,learn,learn,Training clicker with guide book
Training Treat Pouch + Treats,learn,learn,Treat pouch with premium training treats
Dog Psychology Handbook,learn,learn,Understanding canine behavior guide
Ultrasonic Training Whistle,learn,learn,Professional dog training whistle
Advanced Tricks Masterclass,learn,learn,Video course for advanced dog tricks
Peanut Butter video,shop,nut-butters,Delicious nut butters made with love for your furry friend.
Veggies,shop,other,Delicious other made with love for your furry friend.
Vegan,shop,other,Delicious other made with love for your furry friend.
Biodegradable Poop Bags (120 Count),care,care,
Adoption Counseling,adopt,services,Free adoption guidance
Foster-to-Adopt Program,adopt,programs,Try before you commit
Soft Emergency Muzzle Set (3 Sizes),emergency,emergency,
Dog Birthday Cake Hamper w/ Toy,celebrate,hampers,"With yummy cakes and treats, pawdorable goodies, pawfect decorations and a bandana to match this is "
TEST_Product_20260127163538,shop,,
Insurance Consultation,insure,service,Find the right coverage
